,fips_cd,apn,IsTraining,prop_house_number,prop_house_number_2,prop_house_number_suffix,prop_direction_left,prop_street_name,prop_suffix,prop_direction_right,prop_unit_type,prop_unit_number,prop_city,prop_state,prop_zip_code,prop_zip_plus_4,dwelling_type,zoning,census_tract,mobile_home_ind,timeshare_ind,acres,land_square_footage,irregular_lot_flg,assessed_total_value,assessed_land_value,assessed_improvement_value,market_total_value,market_land_value,market_improvement_value,tax_amt,tax_year,delinquent_tax_year,assessed_year,tax_cd_area,building_square_feet,total_living_square_feet,total_ground_floor_square_feet,total_basement_square_feet,total_garage_parking_square_feet,year_built,effective_year_built,bedrooms,total_rooms,total_baths_calculated,air_conditioning,basement_cd,condition,construction_type,fireplace_num,garage_type,heating_type,construction_quality,roof_cover,roof_type,stories_cd,style,geocode_latitude,geocode_longitude,avm_final_value0,avm_std_deviation0,avm_final_value1,avm_std_deviation1,avm_final_value2,avm_std_deviation2,avm_final_value3,avm_std_deviation3,avm_final_value4,avm_std_deviation4,first_mtg_amt,distressed_sale_flg,sale_amt,transaction_date
0,42001,09 E12-0054---000,1,190,,,,KNOXLYN,RD,,,,GETTYSBURG,PA,17325.0,7413.0,Single Family Residential,,31401.0,,,0.62,27007,,177600.0,54500.0,123100.0,177600.0,54500.0,123100.0,304.69,2018,0,2018,GERRYSBURG,1242,1242,0,0,324,1968,1968,3,7,2,Central,Partial Basement,,,1,Attached Garage,Heat Pump,,,,,,39.845495,-77.285247,183500.0,0.17,183900.0,0.22,184000.0,0.21,186000.0,0.24,200071.0,0.2256,0.0,Y,108000.0,04/07/16
1,42001,09 E12-0054---000,1,190,,,,KNOXLYN,RD,,,,GETTYSBURG,PA,17325.0,7413.0,Single Family Residential,,31401.0,,,0.62,27007,,177600.0,54500.0,123100.0,177600.0,54500.0,123100.0,304.69,2018,0,2018,GERRYSBURG,1242,1242,0,0,324,1968,1968,3,7,2,Central,Partial Basement,,,1,Attached Garage,Heat Pump,,,,,,39.845495,-77.285247,183500.0,0.17,183900.0,0.22,184000.0,0.21,186000.0,0.24,200071.0,0.2256,202022.0,Y,205750.0,07/12/17
2,42001,09 E12-0054---000,1,190,,,,KNOXLYN,RD,,,,GETTYSBURG,PA,17325.0,7413.0,Single Family Residential,,31401.0,,,0.62,27007,,177600.0,54500.0,123100.0,177600.0,54500.0,123100.0,304.69,2018,0,2018,GERRYSBURG,1242,1242,0,0,324,1968,1968,3,7,2,Central,Partial Basement,,,1,Attached Garage,Heat Pump,,,,,,39.845495,-77.285247,183500.0,0.17,183900.0,0.22,184000.0,0.21,186000.0,0.24,200071.0,0.2256,0.0,,2177.0,06/03/15
3,42001,09 E12-0054---000,1,190,,,,KNOXLYN,RD,,,,GETTYSBURG,PA,17325.0,7413.0,Single Family Residential,,31401.0,,,0.62,27007,,177600.0,54500.0,123100.0,177600.0,54500.0,123100.0,304.69,2018,0,2018,GERRYSBURG,1242,1242,0,0,324,1968,1968,3,7,2,Central,Partial Basement,,,1,Attached Garage,Heat Pump,,,,,,39.845495,-77.285247,183500.0,0.17,183900.0,0.22,184000.0,0.21,186000.0,0.24,200071.0,0.2256,196910.0,Y,200000.0,06/30/08
4,42001,08 008-0271---000,1,112,,,S,JEFFERSON,ST,,,,HANOVER,PA,17331.0,4801.0,Single Family Residential,,31101.0,,,0.12,5227,,132600.0,21100.0,111500.0,132600.0,21100.0,111500.0,2498.37,2018,0,2018,CONEWAGO V,1248,1248,0,0,324,1968,1968,2,4,1,Central,Full Basement,,,0,Attached Garage,Forced air unit,,,,,,39.803994,-77.005952,151000.0,0.1,151600.0,0.13,147000.0,0.14,148000.0,0.19,131061.0,0.2285,128075.0,Y,129800.0,05/26/10
5,42001,08 031-0092---000,1,50,,,,ROSECROFT,RUN,,,,HANOVER,PA,17331.0,8639.0,Single Family Residential,,31102.0,,,0.39,16988,,278900.0,52400.0,226500.0,278900.0,52400.0,226500.0,5254.87,2018,0,2018,CONEWAGO V,2124,2124,0,0,420,2003,2003,4,7,2,Central,Full Basement,,,1,Attached Garage,Forced air unit,,,,200.0,,39.793106,-77.046932,323800.0,0.07,325100.0,0.08,318000.0,0.09,322000.0,0.13,262784.0,0.2285,0.0,Y,234000.0,04/12/04
6,42001,09 E12-0055---000,1,180,,,,KNOXLYN,RD,,,,GETTYSBURG,PA,17325.0,7413.0,Single Family Residential,,31401.0,,,0.44,19166,,199900.0,47500.0,152400.0,199900.0,47500.0,152400.0,342.95,2018,0,2018,GERRYSBURG,1576,1576,0,0,336,1962,1962,3,6,1,Central,Partial Basement,,,1,Attached Garage,Hot Water,,,,100.0,,39.845782,-77.28501,193800.0,0.08,191400.0,0.12,192000.0,0.12,193000.0,0.15,198487.0,0.2256,30000.0,Y,169000.0,02/28/17
7,42001,08 021-0017---000,1,25,,,,PEANUT,DR,,,,HANOVER,PA,17331.0,8934.0,Single Family Residential,,31000.0,,,0.25,10890,,154600.0,35400.0,119200.0,154600.0,35400.0,119200.0,2912.88,2018,0,2018,CONEWAGO V,1026,1026,0,0,300,1970,1970,3,6,2,,Full Basement,,,0,Attached Garage,Electric,,,,100.0,,39.81977,-77.033277,173600.0,0.05,173600.0,0.09,173000.0,0.09,173000.0,0.11,148339.0,0.1842,142373.0,Y,145000.0,10/20/17
8,42001,08 008-0272---000,1,114,,,S,JEFFERSON,ST,,,,HANOVER,PA,17331.0,4801.0,Single Family Residential,,31101.0,,,0.17,7405,,147700.0,24400.0,123300.0,147700.0,24400.0,123300.0,2782.87,2018,0,2018,CONEWAGO V,1011,1011,0,0,0,1968,1968,2,6,1,Central,Full Basement,,,0,None,Forced air unit,,,,,,39.803804,-77.006039,154100.0,0.06,154100.0,0.1,152000.0,0.1,149000.0,0.16,134006.0,0.2175,98188.0,Y,100000.0,08/31/12
9,42001,09 E12-0057---000,0,160,,,,KNOXLYN,RD,,,,GETTYSBURG,PA,17325.0,7413.0,Single Family Residential,,31401.0,,,0.46,20038,,239100.0,49000.0,190100.0,239100.0,49000.0,190100.0,410.2,2018,0,2018,GERRYSBURG,2232,2232,0,0,280,1965,1965,3,9,2,Central,Full Basement,,,1,Attached Garage,Hot Water,,,,100.0,,39.846361,-77.284545,257900.0,0.05,257900.0,0.07,257000.0,0.07,257000.0,0.12,248736.0,0.219,235653.0,Y,240000.0,09/15/17
